City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Busselton,AU,-33.65,115.3333,48.99,90,0,3.0,clear sky
1,Cabo San Lucas,MX,22.8909,-109.9124,82.81,57,75,4.0,broken clouds
2,Severo-Kurilsk,RU,50.6789,156.125,42.73,94,42,14.65,scattered clouds
3,Kapaa,US,22.0752,-159.319,73.72,70,1,1.01,clear sky
4,Sao Filipe,CV,14.8961,-24.4956,77.61,75,100,4.76,overcast clouds
5,Rikitea,PF,-23.1203,-134.9692,73.65,74,1,4.94,clear sky
6,Bluff,NZ,-46.6,168.3333,45.81,92,67,7.96,broken clouds
7,East London,ZA,-33.0153,27.9116,74.34,23,0,20.71,clear sky
8,Mayo,US,38.8876,-76.5119,78.04,85,75,4.0,broken clouds
9,San Jose,US,37.3394,-121.895,62.28,84,90,5.75,overcast clouds
10,Bemidji,US,47.4736,-94.8803,62.89,100,1,3.44,light rain
11,Torbay,CA,47.6666,-52.7314,65.75,76,75,23.02,broken clouds
12,Jalu,LY,29.0331,21.5482,106.39,12,0,15.32,clear sky
13,Naze,JP,28.3667,129.4833,76.5,90,100,5.7,overcast clouds
14,Jibuti,DJ,11.5,42.5,104.04,13,13,3.11,few clouds
15,Khani,GE,41.9563,42.9566,76.57,63,8,7.47,clear sky
16,Bethel,US,41.3712,-73.414,73.49,87,90,1.01,overcast clouds
17,Khatanga,RU,71.9667,102.5,52.32,41,95,8.61,overcast clouds
18,Zomba,MW,-15.386,35.3188,78.8,34,40,3.44,scattered clouds
19,Bambous Virieux,MU,-20.3428,57.7575,70.21,94,75,5.75,moderate rain
20,Hasaki,JP,35.7333,140.8333,72.0,88,100,4.05,overcast clouds
21,Sistranda,NO,63.7256,8.834,57.16,73,100,5.95,overcast clouds
22,Moindou,NC,-21.6924,165.677,67.95,77,62,4.41,broken clouds
23,Hithadhoo,MV,-0.6,73.0833,82.47,72,94,14.83,overcast clouds
24,Chuy,UY,-33.6971,-53.4616,57.72,85,22,9.19,few clouds
25,Ribeira Grande,PT,38.5167,-28.7,70.2,78,20,5.75,few clouds
26,Klaksvik,FO,62.2266,-6.589,50.92,91,89,16.33,overcast clouds
27,Pandan,PH,14.0453,124.1694,81.03,79,18,5.91,few clouds
28,Ushuaia,AR,-54.8,-68.3,40.66,65,0,11.5,clear sky
29,Carnarvon,AU,-24.8667,113.6333,53.67,42,100,3.44,overcast clouds
30,Port Alfred,ZA,-33.5906,26.891,63.32,58,26,29.75,scattered clouds
31,Makakilo City,US,21.3469,-158.0858,73.4,78,1,3.44,clear sky
32,Saint-Joseph,RE,-21.3667,55.6167,76.21,79,34,7.25,light rain
33,Tuktoyaktuk,CA,69.4541,-133.0374,33.4,89,100,8.23,overcast clouds
34,Albany,US,42.6001,-73.9662,72.0,70,99,7.63,overcast clouds
35,Sysert,RU,56.4953,60.8192,76.98,80,92,4.52,overcast clouds
36,Auki,SB,-8.7676,160.7034,77.13,88,98,5.1,overcast clouds
37,Kjopsvik,NO,68.097,16.3742,53.47,62,100,5.35,overcast clouds
38,Waipawa,NZ,-41.4122,175.5153,60.8,88,90,11.5,overcast clouds
39,Katiola,CI,8.1333,-5.1,83.03,54,80,3.0,broken clouds
40,Kununurra,AU,-15.7667,128.7333,73.38,40,75,6.91,broken clouds
41,Kodiak,US,57.79,-152.4072,49.51,87,90,10.36,light rain
42,Avarua,CK,-21.2078,-159.775,73.45,78,90,10.36,light intensity drizzle
43,Hermanus,ZA,-34.4187,19.2345,60.8,66,19,21.61,few clouds
44,Mar Del Plata,AR,-38.0023,-57.5575,47.12,57,90,3.0,light rain
45,Pevek,RU,69.7008,170.3133,39.67,57,100,5.68,overcast clouds
46,Mitrofanovka,RU,49.9708,39.6939,91.4,44,57,10.18,broken clouds
47,Punta Arenas,CL,-53.15,-70.9167,32.0,93,0,10.36,clear sky
48,Antalaha,MG,-14.9003,50.2788,73.49,81,1,11.45,light rain
49,Sangar,RU,63.9242,127.4739,64.87,65,96,2.33,overcast clouds
50,Hilo,US,19.7297,-155.09,73.13,85,90,0.0,overcast clouds
51,Qasigiannguit,GL,68.8193,-51.1922,41.25,96,100,6.2,overcast clouds
52,Mataura,NZ,-46.1927,168.8643,45.48,98,100,3.13,overcast clouds
53,Verkhnyaya Inta,RU,65.9811,60.3094,62.15,73,100,4.29,overcast clouds
54,Dikson,RU,73.5069,80.5464,31.95,91,100,4.56,overcast clouds
55,Yellowknife,CA,62.456,-114.3525,61.32,100,75,9.22,broken clouds
56,Cherskiy,RU,68.75,161.3,63.18,42,100,3.76,overcast clouds
57,Faanui,PF,-16.4833,-151.75,80.74,70,0,7.94,clear sky
58,Mugur-Aksy,RU,50.35,90.5,52.36,51,100,7.96,overcast clouds
59,Henties Bay,NA,-22.116,14.2845,65.62,61,1,11.86,clear sky
60,Anadyr,RU,64.75,177.4833,36.1,80,20,2.24,few clouds
61,Bisho,ZA,-32.8472,27.4422,68.63,27,5,16.73,clear sky
62,Methoni,GR,36.8197,21.7049,93.06,63,0,18.1,clear sky
63,Ilulissat,GL,69.2167,-51.1,41.02,93,75,6.91,light intensity drizzle rain
64,Narsaq,GL,60.9167,-46.05,46.62,85,98,2.39,overcast clouds
65,Tortoli,IT,39.9256,9.6572,80.42,54,40,13.8,scattered clouds
66,Acapulco,MX,16.8634,-99.8901,73.22,88,90,0.0,overcast clouds
67,Ocos,GT,14.5094,-92.1933,83.32,79,100,9.26,overcast clouds
68,Matagami,CA,49.7502,-77.6328,64.51,100,90,0.0,overcast clouds
69,Dalbandin,PK,28.8947,64.4101,98.17,8,0,18.52,clear sky
70,Puerto Ayora,EC,-0.7393,-90.3518,72.55,92,100,4.0,overcast clouds
71,Itarema,BR,-2.9248,-39.9167,83.61,62,3,8.28,clear sky
72,Chernyshevskiy,RU,63.0128,112.4714,67.91,57,100,1.86,overcast clouds
73,Hobart,AU,-42.8794,147.3294,49.86,86,75,4.0,broken clouds
74,Manicore,BR,-5.8092,-61.3003,78.75,83,20,5.75,few clouds
75,Qaanaaq,GL,77.484,-69.3632,39.15,74,20,0.65,few clouds
76,Bathsheba,BB,13.2167,-59.5167,84.81,61,40,20.71,scattered clouds
77,Bengkulu,ID,-3.8004,102.2655,78.03,85,94,2.86,moderate rain
78,Mikhaylovka,RU,50.06,43.2379,93.94,31,25,9.91,light rain
79,Isangel,VU,-19.55,169.2667,73.65,67,13,18.03,few clouds
80,Kamenka,RU,51.3223,42.7678,90.07,41,10,5.03,clear sky
81,Coihaique,CL,-45.5752,-72.0662,31.95,93,20,4.61,few clouds
82,Butaritari,KI,3.0707,172.7902,83.53,75,100,14.99,light rain
83,Barrow,US,71.2906,-156.7887,33.82,86,90,12.66,mist
84,Broome,US,42.2506,-75.833,72.9,86,20,1.99,few clouds
85,Vaini,TO,-21.2,-175.2,69.96,78,75,11.5,broken clouds
86,Tasiilaq,GL,65.6145,-37.6368,51.96,61,100,4.0,overcast clouds
87,Lebu,CL,-37.6167,-73.65,43.11,83,15,5.03,few clouds
88,Saint-Philippe,RE,-21.3585,55.7679,77.22,81,46,11.03,light rain
89,Lagoa,PT,39.05,-27.9833,65.93,84,38,13.06,scattered clouds
90,Half Moon Bay,US,37.4636,-122.4286,61.81,89,90,6.91,mist
91,Egvekinot,RU,66.3167,-179.1667,38.97,61,46,2.04,scattered clouds
92,Puerto Colombia,CO,10.9878,-74.9547,75.29,82,100,11.95,overcast clouds
93,Lata,PT,40.1629,-8.3327,82.49,47,5,10.94,clear sky
94,Port Elizabeth,ZA,-33.918,25.5701,67.1,55,20,28.77,few clouds
95,Sorland,NO,67.667,12.6934,50.07,76,100,17.2,overcast clouds
96,Mathbaria,BD,22.2876,89.9593,83.5,81,29,9.24,scattered clouds
97,Conde,BR,-7.2597,-34.9075,80.06,65,0,13.8,clear sky
98,Buchanan,LR,5.8808,-10.0467,85.96,73,100,2.8,light rain
99,Cabedelo,BR,-6.9811,-34.8339,81.27,63,7,18.68,clear sky
100,Casablanca,MA,33.5928,-7.6192,86.0,61,0,18.41,clear sky
101,Bredasdorp,ZA,-34.5322,20.0403,63.72,42,18,21.85,few clouds
102,Salina,US,38.8403,-97.6114,69.93,90,40,3.0,scattered clouds
103,Patan,NP,27.6667,85.3333,73.78,83,75,2.3,broken clouds
104,Murray,US,40.6669,-111.888,68.85,55,1,1.99,clear sky
105,Kati,ML,12.7441,-8.0726,89.01,25,14,12.26,few clouds
106,Launceston,AU,-41.45,147.1667,52.81,92,90,1.01,drizzle
107,Cape Town,ZA,-33.9258,18.4232,63.1,56,75,5.01,broken clouds
108,Jamestown,US,42.097,-79.2353,72.99,68,90,13.8,overcast clouds
109,Iqaluit,CA,63.7506,-68.5145,33.53,93,90,11.01,overcast clouds
110,Altamira,BR,-3.2033,-52.2064,78.89,89,40,3.44,scattered clouds
111,Chokurdakh,RU,70.6333,147.9167,61.92,55,100,10.67,overcast clouds
112,Arroyo,ES,41.6096,-4.7969,87.15,26,0,17.27,clear sky
113,Katsuura,JP,35.1333,140.3,76.1,88,100,1.9,heavy intensity rain
114,Saskylakh,RU,71.9167,114.0833,47.91,55,58,6.51,broken clouds
115,Porto Novo,BJ,6.4965,2.6036,73.22,85,100,6.55,moderate rain
116,Bitin,PH,14.0939,121.2128,84.36,88,57,2.21,broken clouds
117,Nikolskoye,RU,59.7035,30.7861,78.69,64,100,6.26,overcast clouds
118,Avera,US,33.194,-82.5271,74.71,73,37,7.05,scattered clouds
119,Pierre,US,44.3683,-100.351,63.99,88,75,12.66,mist
120,Cobija,BO,-11.0267,-68.7692,78.57,56,0,4.05,clear sky
121,Gat,IL,31.61,34.7642,91.4,43,0,15.99,clear sky
122,Aksu,CN,41.1231,80.2644,87.1,18,1,8.55,clear sky
123,Tena,EC,-0.9833,-77.8167,70.56,74,7,0.58,clear sky
124,Port Hardy,CA,50.6996,-127.4199,55.58,94,20,2.3,few clouds
125,Saint-Francois,FR,46.4154,3.9054,78.67,46,0,6.91,clear sky
126,Christchurch,NZ,-43.5333,172.6333,48.2,100,90,3.44,mist
127,Pochutla,MX,15.7432,-96.4661,73.22,75,100,3.2,overcast clouds
128,Suez,EG,29.9737,32.5263,98.51,19,0,15.08,clear sky
129,Kyra,RU,49.5776,111.9753,59.36,93,100,3.65,overcast clouds
130,Zarubino,RU,42.63,131.0922,61.92,94,31,2.86,scattered clouds
131,Virginia Beach,US,36.8529,-75.978,79.0,89,99,1.01,overcast clouds
132,Kathmandu,NP,27.7167,85.3167,73.4,83,75,2.3,broken clouds
133,Raymondville,US,26.4815,-97.7831,80.91,79,9,13.67,clear sky
134,Barra Do Garcas,BR,-15.89,-52.2567,72.18,64,0,0.0,clear sky
135,Tiksi,RU,71.6872,128.8694,36.43,78,6,5.46,clear sky
136,Shihezi,CN,44.3,86.0333,75.02,31,85,7.36,overcast clouds
137,Fairbanks,US,64.8378,-147.7164,60.93,71,40,3.44,scattered clouds
138,Yen Bai,VN,21.7,104.8667,84.74,77,68,1.48,broken clouds
139,Ferreira Do Alentejo,PT,38.05,-8.0333,81.99,39,0,9.22,clear sky
140,Castro,BR,-24.7911,-50.0119,63.77,82,80,7.87,broken clouds
141,Atuona,PF,-9.8,-139.0333,78.69,74,44,20.18,light rain
142,Verkhnevilyuysk,RU,63.4453,120.3167,70.57,67,91,3.15,overcast clouds
143,Hofn,IS,64.2539,-15.2082,59.02,58,41,6.91,haze
144,Tanout,NE,14.9709,8.8879,105.3,11,0,8.05,clear sky
145,Bucerias,MX,20.75,-105.3333,72.99,94,75,5.75,broken clouds
146,Lorengau,PG,-2.0226,147.2712,80.38,80,39,5.46,scattered clouds
147,Celestun,MX,20.8667,-90.4,77.5,79,100,6.15,overcast clouds
148,Saldanha,ZA,-33.0117,17.9442,62.65,62,63,8.3,broken clouds
149,Esperance,AU,-33.8667,121.9,51.8,71,0,8.05,clear sky
150,Homer,US,59.6425,-151.5483,50.81,71,75,3.44,light rain
151,Amboasary,MG,-25.0333,46.3833,80.44,42,0,4.03,clear sky
152,Guarapari,BR,-20.6667,-40.4975,67.89,70,70,8.77,broken clouds
153,Belaya Gora,RU,68.5333,146.4167,73.18,35,66,7.09,broken clouds
154,Avigliano,IT,40.7329,15.72,85.68,33,6,10.87,clear sky
155,Muana,BR,-1.5283,-49.2167,83.86,64,66,4.74,broken clouds
156,San Rafael,AR,-34.6177,-68.3301,40.08,44,97,7.67,overcast clouds
157,Ahipara,NZ,-35.1667,173.1667,60.37,89,100,11.03,overcast clouds
158,Pechenga,RU,69.5259,31.1703,52.66,53,100,8.68,overcast clouds
159,Soteapan,MX,18.2333,-94.8667,75.63,85,100,1.03,overcast clouds
160,Marienburg,PL,54.0359,19.0266,73.89,63,63,9.98,broken clouds
161,Soltvadkert,HU,46.5789,19.3939,87.82,38,2,9.35,clear sky
162,Martapura,ID,-3.4167,114.85,78.8,94,20,4.61,few clouds
163,Monte Alegre De Minas,BR,-18.8706,-48.8808,70.45,34,5,15.03,clear sky
164,Mount Isa,AU,-20.7333,139.5,55.17,54,0,8.05,clear sky
165,Karasjok,NO,69.4719,25.5112,57.31,51,100,5.86,overcast clouds
166,Sholapur,IN,17.6833,75.9167,81.77,65,100,9.15,light rain
167,Victoria,HK,22.2855,114.1577,86.38,89,99,1.99,moderate rain
168,Fort Nelson,CA,58.8053,-122.7002,58.59,88,20,0.0,few clouds
169,Marand,IR,38.4329,45.7749,95.34,14,100,16.37,overcast clouds
170,Shimoda,JP,34.6667,138.95,74.16,83,100,2.21,overcast clouds
171,Miri,MY,4.4148,114.0089,82.54,78,40,4.61,scattered clouds
172,Sovetskiy,RU,61.3614,63.5842,58.33,75,100,3.24,overcast clouds
173,Bardiyah,LY,31.7561,25.0865,88.14,50,0,18.99,clear sky
174,Nyrob,RU,60.733,56.7202,78.33,40,31,5.82,scattered clouds
175,Shumskiy,RU,54.8318,99.1328,61.79,63,88,2.42,overcast clouds
176,Aykhal,RU,66.0,111.5,68.72,54,100,10.09,overcast clouds
177,Pemangkat,ID,1.1667,108.9667,82.35,73,10,5.41,heavy intensity rain
178,Taree,AU,-31.9,152.4667,55.58,93,0,0.0,clear sky
179,Panguipulli,CL,-39.6333,-72.3333,31.71,95,26,2.04,scattered clouds
180,Pouembout,NC,-21.1333,164.9,71.08,78,80,5.1,broken clouds
181,Vardo,NO,70.3705,31.1107,53.8,75,100,4.68,overcast clouds
182,Mindelo,CV,16.8901,-24.9804,80.15,61,20,24.16,few clouds
183,Cidreira,BR,-30.1811,-50.2056,60.48,91,100,13.06,heavy intensity rain
184,Havoysund,NO,70.9963,24.6622,49.08,94,100,19.46,light rain
185,Mahebourg,MU,-20.4081,57.7,69.8,94,75,5.75,moderate rain
186,Kazerun,IR,29.6195,51.6541,101.46,10,3,17.87,clear sky
187,Benito Juarez,MX,19.385,-99.165,57.99,71,75,4.0,broken clouds
188,Resavica,RS,44.0408,21.5816,82.08,50,14,11.07,few clouds
189,Bakchar,RU,57.0186,82.0711,59.23,69,88,5.66,overcast clouds
190,Odienne,CI,9.51,-7.5692,84.07,55,83,4.16,broken clouds
191,Hobyo,SO,5.3505,48.5268,81.55,70,15,31.25,few clouds
192,Paita,PE,-5.0892,-81.1144,65.53,81,17,12.24,few clouds
193,Nanyuki,KE,0.0167,37.0728,74.46,39,71,8.01,broken clouds
194,Luderitz,NA,-26.6481,15.1594,67.57,48,34,15.03,scattered clouds
195,Saint George,US,37.1041,-113.5841,75.54,29,1,1.99,clear sky
196,Vila Velha,BR,-20.3297,-40.2925,67.95,83,75,1.14,broken clouds
197,Molina,CL,-35.1167,-71.2833,41.38,100,90,10.36,overcast clouds
198,Georgetown,MY,5.4112,100.3354,85.95,75,20,3.44,few clouds
199,Samarai,PG,-10.6167,150.6667,78.89,87,99,9.01,overcast clouds
200,Lasa,IT,46.6166,10.7002,79.63,58,78,4.34,broken clouds
201,Baykit,RU,61.67,96.37,59.36,86,100,3.6,moderate rain
202,Tura,IN,25.5198,90.2201,76.23,95,86,5.17,light rain
203,Shetpe,KZ,44.1667,52.1167,105.3,11,7,9.28,clear sky
204,Mildura,AU,-34.2,142.15,42.76,87,40,4.61,scattered clouds
205,Peleduy,RU,59.6289,112.7406,71.19,57,26,0.83,scattered clouds
206,Yeppoon,AU,-23.1333,150.7333,59.0,88,90,3.44,drizzle
207,Forbes,AU,-33.3833,148.0167,43.59,96,6,4.85,clear sky
208,Iisalmi,FI,63.5592,27.1907,75.22,39,69,6.8,broken clouds
209,Dunedin,NZ,-45.8742,170.5036,52.81,88,93,5.01,overcast clouds
210,Lakes Entrance,AU,-37.8811,147.981,40.17,87,8,11.03,clear sky
211,Kharp,RU,66.8014,65.8081,60.37,43,100,6.89,overcast clouds
212,Longyearbyen,SJ,78.2186,15.6401,40.84,81,75,5.75,broken clouds
213,Provideniya,RU,64.3833,-173.3,41.81,90,100,11.65,overcast clouds
214,Thompson,CA,55.7435,-97.8558,50.16,66,1,3.44,clear sky
215,Balarampur,IN,23.1167,86.2167,91.81,70,100,6.44,overcast clouds
216,Aden,YE,12.7794,45.0367,88.63,64,7,9.71,clear sky
217,Comodoro Rivadavia,AR,-45.8667,-67.5,40.86,60,75,17.27,broken clouds
218,Batemans Bay,AU,-35.7167,150.1833,47.91,77,0,6.64,moderate rain
219,Todos Santos,MX,23.45,-110.2167,82.31,79,16,3.89,few clouds
220,Dingle,PH,10.9995,122.6711,79.09,86,100,2.3,overcast clouds
221,Norman Wells,CA,65.282,-126.8329,55.44,88,40,2.3,scattered clouds
222,Lapua,FI,62.9693,23.0088,80.47,43,7,8.19,clear sky
223,Okhotsk,RU,59.3833,143.3,53.78,79,1,3.33,clear sky
224,Surt,LY,31.2089,16.5887,88.48,44,0,12.62,clear sky
225,New Norfolk,AU,-42.7826,147.0587,49.5,85,97,1.01,overcast clouds
226,Sitka,US,57.0531,-135.33,53.49,94,90,4.61,mist
227,Kidal,ML,18.4411,1.4078,106.05,10,5,3.42,clear sky
228,Coffs Harbour,AU,-30.3,153.1333,46.4,93,0,6.91,clear sky
229,Alihe,CN,50.5667,123.7167,63.16,94,47,0.51,moderate rain
230,Rizhao,CN,35.4275,119.4553,71.31,94,8,7.49,clear sky
231,Oranjestad,AW,12.524,-70.027,83.91,77,20,5.99,few clouds
232,Codrington,AU,-38.2667,141.9667,52.74,94,96,13.0,light rain
233,Nouadhibou,MR,20.931,-17.0347,78.78,61,6,13.8,clear sky
234,Gonbad-E Qabus,IR,37.25,55.1672,110.35,8,0,15.93,clear sky
235,Torit,SS,4.4133,32.5678,91.26,37,97,3.06,overcast clouds
236,Derzhavinsk,KZ,51.1,66.3167,80.74,28,98,10.65,overcast clouds
237,Ponta Do Sol,PT,32.6667,-17.1,73.71,63,0,2.01,clear sky
